MergeHash,MergeDate,Author,TimeToMergeHours,FilesMerged
ed74dcd6bc9a8f8df6b2e5e66fb35cd09faba6fd,2021-01-04 06:52,dependabot-preview[bot],0.26,"src/startup/banner.js,test/unit/src/index-test.js,src/before/index.js,.github/pull_request_template.md,.github/workflows/build.yml,.codecov.yaml,test/integration/integration-test.js,src/help/index.js,.github/contributing.md,.eslintignore,src/startup/env.js,eslint.config.js,changelog.md,governance.md,test/unit/src/commands-present-test.js,src/startup/index.js,package.json,test/unit/src/dependency-version-test.js,src/index.js,readme.md"
0674c779da3148521e29aa21ff8252bd0dd04f02,2021-01-05 06:45,dependabot-preview[bot],0.08,"src/startup/banner.js,test/unit/src/index-test.js,src/before/index.js,.github/pull_request_template.md,.github/workflows/build.yml,.codecov.yaml,test/integration/integration-test.js,src/help/index.js,.github/contributing.md,.eslintignore,src/startup/env.js,eslint.config.js,changelog.md,governance.md,test/unit/src/commands-present-test.js,src/startup/index.js,package.json,test/unit/src/dependency-version-test.js,src/index.js,readme.md"
d1048e29ad84648d451b803cadf6c458ceb0c081,2021-01-18 07:32,dependabot-preview[bot],0.1,"src/startup/banner.js,test/unit/src/index-test.js,src/before/index.js,.github/pull_request_template.md,.github/workflows/build.yml,.codecov.yaml,test/integration/integration-test.js,src/help/index.js,.github/contributing.md,.eslintignore,src/startup/env.js,eslint.config.js,changelog.md,governance.md,test/unit/src/commands-present-test.js,src/startup/index.js,package.json,test/unit/src/dependency-version-test.js,src/index.js,readme.md"
95169acdc9c978ba7ef8669c004f4cbc9256ea5f,2021-01-28 06:25,dependabot-preview[bot],0.02,"src/startup/banner.js,test/unit/src/index-test.js,src/before/index.js,.github/pull_request_template.md,.github/workflows/build.yml,.codecov.yaml,test/integration/integration-test.js,src/help/index.js,.github/contributing.md,.eslintignore,src/startup/env.js,eslint.config.js,changelog.md,governance.md,test/unit/src/commands-present-test.js,src/startup/index.js,package.json,test/unit/src/dependency-version-test.js,src/index.js,readme.md"
169bbbcbf7c9bce64d3908195cfa7ab72c2c6cec,2021-02-01 07:15,dependabot-preview[bot],0.14,"src/startup/banner.js,test/unit/src/index-test.js,src/before/index.js,.github/pull_request_template.md,.github/workflows/build.yml,.codecov.yaml,test/integration/integration-test.js,src/help/index.js,.github/contributing.md,.eslintignore,src/startup/env.js,eslint.config.js,changelog.md,governance.md,test/unit/src/commands-present-test.js,src/startup/index.js,package.json,test/unit/src/dependency-version-test.js,src/index.js,readme.md"
5ac873d17f411b704819f75460961003bed695a2,2021-02-01 07:18,dependabot-preview[bot],0.17,"src/startup/banner.js,test/unit/src/index-test.js,src/before/index.js,.github/pull_request_template.md,.github/workflows/build.yml,.codecov.yaml,test/integration/integration-test.js,src/help/index.js,.github/contributing.md,.eslintignore,src/startup/env.js,eslint.config.js,changelog.md,governance.md,test/unit/src/commands-present-test.js,src/startup/index.js,package.json,test/unit/src/dependency-version-test.js,src/index.js,readme.md"
e419421a6187a923ca18bd4a7debc772e43b1546,2021-02-15 06:36,dependabot-preview[bot],0.11,"src/startup/banner.js,test/unit/src/index-test.js,src/before/index.js,.github/pull_request_template.md,.github/workflows/build.yml,.codecov.yaml,test/integration/integration-test.js,src/help/index.js,.github/contributing.md,.eslintignore,src/startup/env.js,eslint.config.js,changelog.md,governance.md,test/unit/src/commands-present-test.js,src/startup/index.js,package.json,test/unit/src/dependency-version-test.js,src/index.js,readme.md"
aad7f423973728280b13c910b5b97270f75691c8,2021-02-22 06:35,dependabot-preview[bot],0.07,"src/startup/banner.js,test/unit/src/index-test.js,src/before/index.js,.github/pull_request_template.md,.github/workflows/build.yml,.codecov.yaml,test/integration/integration-test.js,src/help/index.js,.github/contributing.md,.eslintignore,src/startup/env.js,eslint.config.js,changelog.md,governance.md,test/unit/src/commands-present-test.js,src/startup/index.js,package.json,test/unit/src/dependency-version-test.js,src/index.js,readme.md"
85e01a768a92ae28afdd8cd7320a2e2966e2c6a2,2021-03-01 08:16,dependabot-preview[bot],0.05,"src/startup/banner.js,test/unit/src/index-test.js,src/before/index.js,.github/pull_request_template.md,.github/workflows/build.yml,.codecov.yaml,test/integration/integration-test.js,src/help/index.js,.github/contributing.md,.eslintignore,src/startup/env.js,eslint.config.js,changelog.md,governance.md,test/unit/src/commands-present-test.js,src/startup/index.js,package.json,test/unit/src/dependency-version-test.js,src/index.js,readme.md"
b1ab6dd67e49a0d3e5ef465dc6310728b22cf461,2021-03-01 08:17,dependabot-preview[bot],0.07,"src/startup/banner.js,test/unit/src/index-test.js,src/before/index.js,.github/pull_request_template.md,.github/workflows/build.yml,.codecov.yaml,test/integration/integration-test.js,src/help/index.js,.github/contributing.md,.eslintignore,src/startup/env.js,eslint.config.js,changelog.md,governance.md,test/unit/src/commands-present-test.js,src/startup/index.js,package.json,test/unit/src/dependency-version-test.js,src/index.js,readme.md"
